ID_station;station_name;month;value;type
10001;René Boulanger - Lancry;Janvier;4059;departure
10003;Hauteville - Bonne Nouvelle;Janvier;2513;departure
10004;Metz - Faubourg Saint-Denis;Janvier;5172;departure
10005;Petites Ecuries - Faubourg Poissonnière;Janvier;2949;departure
10006;Petites Ecuries - Faubourg Saint-Denis;Janvier;6317;departure
10008;Cité Riverin - Château d'Eau;Janvier;2432;departure
10009;Mairie du 10ème;Janvier;2255;departure
1001;Quai de l'Horloge - Pont Neuf;Janvier;1509;departure
10010;Place Jacques Bonsergent;Janvier;4233;departure
10011;Bourse du Travail;Janvier;3190;departure
10012;Vinaigriers - Magenta;Janvier;1989;departure
10013;Alibert - Jemmapes;Janvier;5645;departure
10014;Marseille - Beaurepaire;Janvier;4534;departure
10015;Lucien Sampaix - Récollets;Janvier;2090;departure
10016;Récollets - Square Villemin;Janvier;657;departure
10017;Gare de l'Est - Fidélité;Janvier;2623;departure
10018;Square Alban Satragne;Janvier;1705;departure
10019;Paradis - Hauteville;Janvier;2588;departure
1002;Victoria - Place du Chatelet;Janvier;2411;departure
10020;Chabrol - d'Hauteville;Janvier;2975;departure
10021;Marché Saint-Quentin;Janvier;1070;departure
10023;Gare de l'Est - Verdun;Janvier;1410;departure
10024;Buisson Saint-Louis - Saint-Maur;Janvier;2287;departure
10025;Jemmapes - Ecluses Saint-Martin;Janvier;2929;departure
10026;Gare de l'Est - Chateau Landon;Janvier;3808;departure
10027;Dunkerque - Alsace;Janvier;923;departure
10028;Gare du Nord - Dunkerque;Janvier;3217;departure
10029;Dunkerque - Rocroy;Janvier;1227;departure
1003;Saint-Denis - Rivoli;Janvier;3422;departure
10031;Louis Blanc - Aqueduc;Janvier;4194;departure
10032;Claude Vellefaux - Hôpital Saint-Louis;Janvier;2317;departure
10033;Gare du Nord - Saint-Vincent de Paul;Janvier;715;departure
10034;Louis Blanc - La Chapelle;Janvier;1898;departure
10036;Aqueduc - Villette;Janvier;2641;departure
10037;Quai de Valmy;Janvier;1388;departure
10038;Place du Colonel Fabien;Janvier;2701;departure
10039;Sambre et Meuse - Villette;Janvier;2381;departure
10041;Gare du Nord - La Chapelle;Janvier;1334;departure
10042;Enghien - Faubourg Poissonnière;Janvier;1476;departure
1006;Grande Truanderie - Saint-Denis;Janvier;4678;departure
1007;Turbigo - Française;Janvier;2409;departure
1008;Les Halles - Saint-Eustache;Janvier;1299;departure
10105;Mazagran - Bonne Nouvelle;Janvier;1941;departure
10107;Gare du Nord - Hôpital Lariboisière;Janvier;1660;departure
10110;Louis Blanc - Jemmapes;Janvier;545;departure
10113;Parmentier - Hôpital Saint-Louis;Janvier;2204;departure
10114;Granges aux Belles - Hôpital Saint-Louis;Janvier;2504;departure
10115;Granges aux Belles;Janvier;1959;departure
1012;Jean-Jacques Rousseau - Deux Ecus;Janvier;1333;departure
1013;Place du Palais Royal;Janvier;2397;departure
1014;Rivoli - Musée du Louvre;Janvier;1866;departure
1015;Place André Malraux;Janvier;2031;departure
10151;Gare du Nord - Faubourg Saint-Denis;Janvier;4967;departure
10152;Gare du Nord - Place de Valenciennes;Janvier;3319;departure
10153;Gare du Nord - Denain;Janvier;3557;departure
1016;Thérèse - Opéra;Janvier;1697;departure
10161;Gare de l'Est - Faubourg-Saint-Martin;Janvier;1912;departure
10162;Alexandre Parodi - Quai de Valmy;Janvier;1949;departure
10163;Gare du Nord - Demarquay;Janvier;1317;departure
10164;Claude Vellefaux - Sambre et Meuse;Janvier;1324;departure
10165;Gare de l'Est - Place du 11 Novembre 1918;Janvier;2517;departure
10166;Strasbourg - Saint-Denis;Janvier;3826;departure
1017;Saint-Honoré - 29 juillet;Janvier;1874;departure
1018;Alger - Rivoli;Janvier;1795;departure
1020;Cambon - Rivoli;Janvier;3287;departure
10201;Magenta - Chabrol;Janvier;4824;departure
1021;Halles - Bourdonnais;Janvier;2957;departure
1022;Danielle Casanova - Place Vendôme;Janvier;2140;departure
1023;Saint-Honoré - Musée du Louvre;Janvier;1345;departure
1024;Coquillière - Louvre;Janvier;1726;departure
1025;Oratoire - Rivoli;Janvier;1509;departure
1026;Place du Lieutenant Henri Karcher;Janvier;1531;departure
11001;Richard Lenoir - Place de la Bastille;Janvier;8737;departure
11002;Roquette - Thiéré;Janvier;2014;departure
11003;Keller - La Roquette;Janvier;2276;departure
11004;Charonne - Faubourg Saint-Antoine;Janvier;5236;departure
11006;Ledru-Rollin - Place du Père Chaillet;Janvier;3924;departure
11007;Jean Macé - Faidherbe;Janvier;3202;departure
11009;Boulets - Voltaire;Janvier;2504;departure
11010;Boulets - Faubourg Saint-Antoine;Janvier;1796;departure
11011;Richard Lenoir - Voltaire;Janvier;3363;departure
11012;Montreuil - Voltaire;Janvier;2275;departure
11014;Place de la Nation - Taillebourg;Janvier;3828;departure
11016;Philippe-Auguste;Janvier;1309;departure
11017;Charonne - Bureau;Janvier;2140;departure
11018;Saint-Maur - République;Janvier;2902;departure
11019;Charonne - Philippe-Auguste;Janvier;2885;departure
1102;Française - Etienne Marcel;Janvier;2112;departure
11020;Belfort - Voltaire;Janvier;3053;departure
11021;Charonne - Pierre Bayle;Janvier;1880;departure
11022;Roquette - Auguste Laurent;Janvier;2453;departure
11023;Saint-Maur - Roquette;Janvier;3411;departure
11024;Mairie du 11ème;Janvier;5601;departure
11025;Froment - Bréguet;Janvier;4360;departure
11026;Chemin Vert - Saint-Maur;Janvier;3824;departure
11027;Saint-Ambroise - Parmentier;Janvier;2338;departure
11028;Guillaume Bertrand - République;Janvier;2932;departure
11029;Ménilmontant - Oberkampf;Janvier;5838;departure
11030;Oberkampf - République;Janvier;3306;departure
11031;Jacquard - Ternaux;Janvier;2904;departure
11032;Jean-Pierre Timbaud - Vaucouleurs;Janvier;745;departure
11033;Bréguet - Sabin;Janvier;3306;departure
11034;Parmentier - Fontaine au Roi;Janvier;3377;departure
11035;Parmentier - Abel Rabaud;Janvier;3633;departure
11036;Jules Ferry - Faubourg du Temple Paris;Janvier;4112;departure
11037;Faubourg Du Temple - Republique;Janvier;5206;departure
11038;Temple - Charlot;Janvier;1563;departure
11039;Richard Lenoir - Jean-Pierre Timbaud;Janvier;2272;departure
11040;Temple - Jean-Pierre Timbaud;Janvier;1719;departure
11041;Square Saint-Ambroise;Janvier;4923;departure
11042;Grand Prieuré - Crussol;Janvier;2956;departure
11043;Place Pasdeloup;Janvier;2810;departure
11044;Square du Bataclan;Janvier;2026;departure
11046;Place de la République - Voltaire;Janvier;2905;departure
11047;Amelot - Saint-Sébastien;Janvier;3010;departure
11048;Place Mireille Havet;Janvier;5689;departure
11101;Charles Delescluze;Janvier;1975;departure
11102;Alexandre Dumas - Voltaire;Janvier;2788;departure
11103;Pelée - Alphonse Baudin;Janvier;1805;departure
11104;Charonne - Robert et Sonia Delauney;Janvier;1360;departure
11105;Parmentier - République;Janvier;2857;departure
11107;Faidherbe - Dahomey;Janvier;1704;departure
11109;Pierre Levée - Fontaine Timbaud;Janvier;3713;departure
11110;Roquette - Folie Regnault;Janvier;3031;departure
11111;Léon Frot - Charonne;Janvier;2481;departure
11112;Jules Vallès - Charonne;Janvier;2322;departure
11113;Richard Lenoir - Republique;Janvier;1878;departure
11114;Ledru-Rollin - Charonne;Janvier;3192;departure
11115;Montreuil - Gonnet;Janvier;1980;departure
11116;Faubourg St-Antoine - Place de la Nation;Janvier;1753;departure
1116;Ventadour - Opéra;Janvier;1282;departure
1117;Pont Neuf - Rivoli;Janvier;4157;departure
1119;Cossonnerie - Sébastopol;Janvier;5780;departure
1120;Lavandieres Sainte Opportune - Rivoli;Janvier;2872;departure
1122;Pont-Neuf - Quai du Louvre;Janvier;937;departure
12001;Bastille - Biscornet;Janvier;1890;departure
12002;Lacuée - Lyon;Janvier;2467;departure
12004;Traversière - Ledru-Rollin;Janvier;6176;departure
12005;Crozatier - Faubourg Saint-Antoine;Janvier;5631;departure
12006;Gare de Lyon - Van Gogh;Janvier;1823;departure
12007;Gare de Lyon - Chalon;Janvier;1323;departure
12008;Hector Malot - Daumesnil;Janvier;2025;departure
12009;Charenton - Diderot;Janvier;2987;departure
12010;Daumesnil - Picpus;Janvier;2192;departure
12011;Charenton - Place du Col Bourgoin;Janvier;3730;departure
12013;Montgallet - Reuilly;Janvier;2953;departure
12015;Place de la Nation - Picpus;Janvier;1507;departure
12016;Saint-Mande - Picpus;Janvier;2192;departure
12017;Saint-Mandé - Docteur Arnold Netter;Janvier;2750;departure
12018;Saint-Mandé - Fabre d'Eglantine;Janvier;1326;departure
12019;Gare de Reuilly - Picpus;Janvier;2413;departure
12020;Cours de Vincennes - Soult;Janvier;1722;departure
12022;Sahel - Général Michel Bizot;Janvier;2082;departure
12024;Gare de Bercy;Janvier;1271;departure
12026;Place Ginette Hamelin;Janvier;1037;departure
12027;Montgallet - Charenton;Janvier;1705;departure
12028;Vivaldi - Antoine-Julien Hénard;Janvier;1251;departure
12029;Dugommier;Janvier;3210;departure
12030;Charenton - Wattignies;Janvier;2532;departure
12031;Gabriel Lamé;Janvier;1887;departure
12032;Porte Dorée;Janvier;4200;departure
12033;François Truffaut - Saint Emilion;Janvier;2178;departure
12034;Pirogues de Bercy - Libourne;Janvier;518;departure
12035;Madagascar - Meuniers;Janvier;1668;departure
12036;Reuilly - Place Felix Eboue;Janvier;2641;departure
12037;Reuilly - Daumesnil;Janvier;1544;departure
12038;Picpus - Louis Braille;Janvier;2258;departure
12039;Général Michel Bizot - Claude Decaen;Janvier;1936;departure
12040;Porte de Charenton;Janvier;2260;departure
12041;Bois de Vincennes.;Janvier;1210;departure
12043;Daumesnil - Hébrard;Janvier;3066;departure
12101;Charenton - Prague;Janvier;2929;departure
12102;Bercy - Traversiére;Janvier;2335;departure
12105;Bercy - Villot;Janvier;1941;departure
12106;Gare de Lyon - Roland Barthes;Janvier;1422;departure
12107;Diderot - Pierre Bourdan;Janvier;1433;departure
12108;Bercy.;Janvier;1450;departure
12109;Mairie du 12ème;Janvier;1955;departure
12111;Claude Decaen - Cannebière;Janvier;1274;departure
12112;Charenton - Jardiniers;Janvier;716;departure
12113;Cardinal Lavigerie;Janvier;1577;departure
12114;Victor Hugo - Jeanne Jugan;Janvier;819;departure
12115;Porte de Vincennes;Janvier;1236;departure
12119;Dom-Pérignon - Gravelle;Janvier;1284;departure
12120;Lac Daumesnil - Saint-Maurice;Janvier;1033;departure
12122;Bois de Vincennes - Polygone;Janvier;1156;departure
12123;Château de Vincennes;Janvier;2762;departure
12125;Pyramide - Parc Floral;Janvier;1311;departure
12126;Gravelle - Route du Bac;Janvier;838;departure
12127;Tremblay - Lac des Minimes;Janvier;728;departure
12128;Pyramide - Ecole du Breuil;Janvier;283;departure
12129;Bois de Vincennes - Porte Jaune;Janvier;453;departure
12150;Bastille - Quai de la Rapée;Janvier;2384;departure
