geo_point_2d;geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;insee_com;nom_com;date_modif;notes
48.83161489905166,2.3200678999999997;"{""coordinates"": [2.3200679, 48.83161489905166], ""type"": ""Point""}";n7489638529;NON;12;;public;NON;NON;arceaux;75114;14e Arrondissement;2021-03;
48.8078866990515,2.1243860999999993;"{""coordinates"": [2.1243861, 48.8078866990515], ""type"": ""Point""}";n8130662094;NON;12;;public;NON;NON;arceaux;78646;Versailles;2020-11;
48.85988869905185,2.3060580999999996;"{""coordinates"": [2.3060581, 48.85988869905185], ""type"": ""Point""}";n5615712504;NON;18;;public;NON;NON;inconnu;75107;7e Arrondissement;2018-05;
48.84363649905173,2.2781115000000005;"{""coordinates"": [2.2781115, 48.84363649905173], ""type"": ""Point""}";n7591423808;NON;2;;public;NON;NON;arceaux;75115;15e Arrondissement;2020-06;
49.0186122990529,2.2174814000000005;"{""coordinates"": [2.2174814, 49.0186122990529], ""type"": ""Point""}";n9206986297;NON;4;;public;NON;NON;arceaux;95607;Taverny;2021-10;
48.898458299052095,2.310423000000001;"{""coordinates"": [2.310423, 48.898458299052095], ""type"": ""Point""}";n8856148254;NON;12;;public;NON;NON;inconnu;92024;Clichy;2021-06;
48.88571909905201,2.3928899;"{""coordinates"": [2.3928899, 48.88571909905201], ""type"": ""Point""}";n9082455902;NON;14;;public;NON;NON;arceaux;75119;19e Arrondissement;2021-09;
48.88938319905205,2.194558;"{""coordinates"": [2.194558, 48.88938319905205], ""type"": ""Point""}";n4993467240;NON;2;;public;NON;NON;ancrage;92050;Nanterre;2017-07;
48.87044969905191,2.373045599999999;"{""coordinates"": [2.3730456, 48.87044969905191], ""type"": ""Point""}";n7634536863;NON;10;;public;NON;NON;arceaux;75111;11e Arrondissement;2020-06;
48.86222669905186,2.3774409999999992;"{""coordinates"": [2.377441, 48.86222669905186], ""type"": ""Point""}";n7642307738;NON;12;;public;NON;NON;arceaux;75111;11e Arrondissement;2020-06;
48.69183289905074,2.1592506000000005;"{""coordinates"": [2.1592506, 48.69183289905074], ""type"": ""Point""}";n6920788027;NON;6;;public;NON;NON;arceaux;91122;Bures-sur-Yvette;2019-10;
48.74397359905107,2.2531600999999988;"{""coordinates"": [2.2531601, 48.74397359905107], ""type"": ""Point""}";n2447637033;NON;6;;public;NON;NON;autres;91645;Verrières-le-Buisson;2021-06;
48.69355649905074,2.5026816;"{""coordinates"": [2.5026816, 48.69355649905074], ""type"": ""Point""}";n1906098497;OUI;60;;public;NON;NON;ratelier;91114;Brunoy;2019-09;
48.8394268990517,2.2402871;"{""coordinates"": [2.2402871, 48.8394268990517], ""type"": ""Point""}";n8661268656;NON;4;;public;NON;NON;arceaux;92012;Boulogne-Billancourt;2021-04;
48.88880449905204,2.2976167999999992;"{""coordinates"": [2.2976168, 48.88880449905204], ""type"": ""Point""}";n2949378484;NON;10;;public;NON;NON;arceaux;75117;17e Arrondissement;2018-05;
