Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
11025;Froment - Bréguet;43;48.8570414504784,2.37289470306807
6029;Vaugirard - Monsieur le Prince;26;48.848951441614176,2.3411329463124275
7025;Octave Gréard - Tour Eiffel;33;48.856502977695634,2.293178754328878
9028;Moncey - Blanche;17;48.88006587474148,2.3310810327529907
10042;Enghien - Faubourg Poissonnière;16;48.87242006305313,2.348395236282807
48010;Karl Marx.;16;48.784527937293184,2.3646667979455587
11039;Richard Lenoir - Jean-Pierre Timbaud;36;48.86580427668637,2.369337074966926
17013;Legendre - Dulong;23;48.885325169402904,2.316423766314984
19016;Hautpoul - Jean Jaurès;33;48.88639367943585,2.386541454435452
9021;Saint Georges - d'Aumale;23;48.87778639599673,2.337429821491241
12013;Montgallet - Reuilly;16;48.844291,2.3896481
14117;Gare Montparnasse - René Mouchotte;39;48.83920384329242,2.320883944630623
20132;Réunion - Avron;26;48.852566752033766,2.403928068708116
42707;Place Jean-Baptiste Clément;25;48.81240466867336,2.3617091774940495
11029_relais;Ménilmontant - Oberkampf;0;48.8669761,2.3823523
16006;Lauriston - Copernic;19;48.86926,2.289918
10165;Gare de l'Est - Place du 11 Novembre 1918;40;48.876327,2.3585464
51003;Hôtel de Ville d'Argenteuil;30;48.946504,2.2496396
8051;Batignolles - Rome;15;48.881823370566806,2.3202589899301524
19039;Edouard Pailleron - Simon Bolivar;24;48.87979886049996,2.374839261174202
16032;Eglise d'Auteuil;21;48.84749841771691,2.26848387135299
17047;Courcelles - Pierre Demours;26;48.883769733273496,2.29858466343129
21703;Square du Carrefour de l'Insurrection;23;48.820864559770676,2.291113436222077
5121;Square René Viviani - Montebello;34;48.851904891406384,2.347842156887055
32004;Wilson - Landy;40;48.91516726221354,2.357633225619793
21114;Gustave Eiffel - Parc des Impressionnistes;30;48.90390619651018,2.2946908324956894
10033;Gare du Nord - Saint-Vincent de Paul;24;48.88095574164779,2.352430514838522
2101;Bachaumont - Montmartre;33;48.86617395079137,2.3449775576591496
13515;Auguste Blanqui - Glacière;60;48.831151602964354,2.3438221961259837
10004;Metz - Faubourg Saint-Denis;48;48.870893,2.353521
16115;Raffet - Montmorency;42;48.85258670812,2.2629252456151954
21219;Amaury Duval - Gabriel Péri;36;48.81718759671675,2.323841750621796
23003;Président Wilson - Baudin;28;48.89826887103676,2.2849336266517644
25001;Colmar - Victor Hugo;32;48.88652251096166,2.173960916697979
47001;Place de la Gare;46;48.80253358011283,2.4275037646293645
9102;Londres - Place d'Estienne d'Orves;25;48.876693805756986,2.3305362090468407
10021;Marché Saint-Quentin;15;48.877356057652264,2.354511445637388
6022;Marché Saint-Germain;21;48.85165625855281,2.335500307381153
11011;Richard Lenoir - Voltaire;25;48.86164273877979,2.3727491497993474
20105;Benoît Frachon - République;30;48.85230729014318,2.415605485439301
10008;Cité Riverin - Château d'Eau;18;48.870702423554306,2.358739863900845
16036;Porte Molitor;60;48.84524763511433,2.2569015249609947
12015;Place de la Nation - Picpus;36;48.84682168154762,2.400113046169281
9037;Parme - Clichy;24;48.88126642422664,2.328197093450571
8028;Arsène Houssaye - Champs-Elysées;29;48.87340927626732,2.2977904602885246
5122;Saint-Michel - Luxembourg;29;48.84501507626001,2.339494116604328
1014;Rivoli - Musée du Louvre;24;48.86364636851945,2.33409583568573
1026;Place du Lieutenant Henri Karcher;30;48.863490871724466,2.3400671035051346
17106;Berthier - Porte de Clichy;24;48.894222687781095,2.3125872006815977
12166;Parc Floral du Bel Air;25;48.839285711865735,2.438560165464878
1008;Les Halles - Saint-Eustache;32;48.86362695901683,2.342623919248581
20140;Paganini - Davout;22;48.85135,2.412021
24004;Paix - Verdun;35;48.900504,2.261173
13006;Duméril - Jeanne d'Arc;40;48.83815160808658,2.357108449556404
25002;Hôtel de Ville de Rueil-Malmaison;20;48.878194,2.181724
6020;Place Saint-André des Arts;37;48.85288617388103,2.3426544293761253
22602;Place Henri Dunant - Gare RER;31;48.787543,2.2907628
34005;Adrien Lesesne - Docteur Bauer;30;48.90263867304635,2.348248063431511
6108;Saint-Romain - Cherche-Midi;17;48.84708159081946,2.321374788880348
42016;Pierre et Marie Curie - Maurice Thorez;27;48.81580226360801,2.376804985105991
25006;Place Nelson Mandela;22;48.862090937689715,2.196576297283173
13101;Croulebarde - Corvisart;34;48.830981659316855,2.3481646925210953
43009;Place Jean-Spire-Lemaître;50;48.8468428626593,2.452062070369721
19105;Ambroise Rendu - Porte Brunet;17;48.883667,2.395733
10025;Jemmapes - Ecluses Saint-Martin;15;48.87748519186726,2.3660067468881607
17012;Mairie du 17ème;24;48.88416184871573,2.322079431103719
11047;Amelot - Saint-Sébastien;30;48.86114216276092,2.367799618107727
5032;Panthéon - Valette;39;48.84702057165222,2.3464982619671075
14003;Schoelcher - Raspail;50;48.83681733526843,2.3312794080411474
5018;Mutualité;37;48.8482255727241,2.350287325680256
15106;Grenelle - Violet;35;48.84993035512154,2.294612042605877
5124;Erasme - Ulm;24;48.84264375274712,2.3445946723222733
32604;Square du Théâtre du Garde-Chasse;50;48.881287375060616,2.420119643211365
15046;Parc Georges Brassens - Brancion;29;48.83227829269761,2.3022570088505745
17028;Reims - Raymond Pitet;37;48.8888,2.296319
16111;Faustin Hélie - Desbordes-Valmore;33;48.859403,2.276522
12115;Porte de Vincennes;33;48.846454,2.415514
24002;Gare de Courbevoie;36;48.8993867,2.2506506
33003;Bordier - Félix Faure;48;48.90390751882016,2.3830059170722966
12126;Gravelle - Route du Bac;51;48.824407,2.418455
17017;Gare de Pont-Cardinet;34;48.88713901475306,2.314494143994255
7014;Saint-François-Xavier;42;48.851544847689894,2.3146149516105656
6103;Mézières - Rennes;55;48.85023459321703,2.3303819820284843
19109;Tanger - Place du Maroc;19;48.8862524447104,2.3689296841621403
22101;Gare Routière de Saint Cloud;31;48.84288183896324,2.222245037555695
18025;Mairie du 18ème;40;48.892939296937605,2.3445510864257812
11040;Temple - Jean-Pierre Timbaud;36;48.864465972010244,2.3660597205162053
18109;Pajol - Riquet;47;48.88960028134536,2.3628534749150276
18029;Emile Blemont - Poteau;39;48.8943782,2.3415122
31703;Sadi Carnot - François Mitterrand;27;48.87532687671517,2.4241617321968083
11010;Boulets - Faubourg Saint-Antoine;43;48.84925926211519,2.391754614194301
1117;Pont Neuf - Rivoli;26;48.86008989261731,2.344057559967041
9017;Lallier - Trudaine;29;48.88109246617963,2.3408224806189537
16112;Chernoviz - Raynouard;37;48.8569864146289,2.282173218142987
15003;Gare Montparnasse - Vaugirard;66;48.8418071798797,2.31951002690117
31013;Centenaire - Sorins;45;48.85853523359734,2.4273508787155156
18001;Damrémont - Caulaincourt;18;48.88714509078738,2.3325880989432335
5028;Censier - Jardin des Plantes;28;48.84107178161383,2.355475388467312
20117;Saint-Fargeau - Mortier;33;48.87266656122256,2.407912909984589
21120;Docteur Calmette - Martre;30;48.89896935848292,2.308651325238316
31101;Jules Guesde - Laennec;19;48.87628983900398,2.5006942078471184
21302;Aristide Briand - Place de la Résistance;25;48.82124248401006,2.2511002421379094
22604;Hôtel de Ville de Fontenay-aux-Roses;34;48.790844603480856,2.2871455930319455
20007;Buzenval - Avron;50;48.851617204998654,2.401513597307666
22501;Théâtre de La Garenne;20;48.905768309295276,2.2353921022349748
42701;Charles Gide - Fort de Bicêtre;30;48.8071937956922,2.353984415531159
13106;Bobillot - Paulin Mery;23;48.829899841747384,2.3543356766748507
