Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
9020;Toudouze - Clauzel;OUI;21;21;0;0;0;OUI;OUI;2022-03-05T14:38:09+01:00;48.87929591733507,2.3373600840568547;Paris;
16107;Benjamin Godard - Victor Hugo;OUI;35;31;4;2;2;OUI;OUI;2022-03-05T14:41:44+01:00;48.865983,2.275725;Paris;
12109;Mairie du 12ème;OUI;30;7;23;18;5;OUI;OUI;2022-03-05T14:43:03+01:00;48.84085531176338,2.3875549435615544;Paris;
11104;Charonne - Robert et Sonia Delauney;OUI;20;17;1;0;1;OUI;OUI;2022-03-05T14:41:13+01:00;48.85590755596891,2.3925706744194035;Paris;
6003;Saint-Sulpice;OUI;21;7;12;6;6;OUI;OUI;2022-03-05T14:40:52+01:00;48.85165383178419,2.3308077827095985;Paris;
5001;Harpe - Saint-Germain;OUI;45;0;44;34;10;OUI;OUI;2022-03-05T14:42:14+01:00;48.85151881501689,2.343670316040516;Paris;
13007;Le Brun - Gobelins;OUI;48;42;6;2;4;OUI;OUI;2022-03-05T14:41:54+01:00;48.835092787823875,2.353468135133752;Paris;
14014;Jourdan - Stade Charléty;OUI;60;53;7;1;6;OUI;OUI;2022-03-05T14:42:05+01:00;48.819428333369,2.3433353751898;Paris;
33006;André Karman - République;OUI;31;21;9;3;6;OUI;OUI;2022-03-05T14:41:01+01:00;48.91039875761846,2.3851355910301213;Aubervilliers;
10013;Alibert - Jemmapes;OUI;60;47;12;10;2;OUI;OUI;2022-03-05T14:41:47+01:00;48.8710440519842,2.366104461987773;Paris;
21010;Silly - Galliéni;OUI;25;13;12;1;11;OUI;OUI;2022-03-05T14:40:17+01:00;48.835583838705936,2.2325500845909123;Boulogne-Billancourt;
8026;Messine - Place Du Pérou;OUI;12;6;5;4;1;OUI;OUI;2022-03-05T14:40:55+01:00;48.875448033960744,2.315508019010038;Paris;
7003;Square Boucicaut;OUI;60;34;25;12;13;OUI;OUI;2022-03-05T14:42:32+01:00;48.851296433665276,2.325061820447445;Paris;
14111;Cassini - Denfert-Rochereau;OUI;25;22;2;1;1;OUI;OUI;2022-03-05T14:41:48+01:00;48.83752583906732,2.336035408079624;Paris;
7001;Invalides - Duroc;OUI;29;7;20;10;10;OUI;OUI;2022-03-05T14:43:14+01:00;48.8477924732952,2.3161920905113225;Paris;
5110;Lacépède - Monge;OUI;23;14;8;0;8;OUI;OUI;2022-03-05T14:38:19+01:00;48.84389286531899,2.3519663885235786;Paris;
7002;Vaneau - Sèvres;OUI;35;15;20;14;6;OUI;OUI;2022-03-05T14:42:57+01:00;48.84856323305935,2.3204218259345537;Paris;
6108;Saint-Romain - Cherche-Midi;OUI;17;9;7;4;3;OUI;OUI;2022-03-05T14:41:11+01:00;48.84708159081946,2.321374788880348;Paris;
5016;Thouin - Cardinal Lemoine;OUI;17;11;5;2;3;OUI;OUI;2022-03-05T14:42:37+01:00;48.84504716661511,2.3494647851273465;Paris;
42016;Pierre et Marie Curie - Maurice Thorez;OUI;27;27;0;0;0;OUI;OUI;2022-03-05T14:33:50+01:00;48.81580226360801,2.376804985105991;Ivry-sur-Seine;
11025;Froment - Bréguet;OUI;43;19;20;15;5;OUI;OUI;2022-03-05T14:42:13+01:00;48.8570414504784,2.37289470306807;Paris;
41301;Bois de Vincennes - Gare;OUI;50;32;16;15;1;OUI;OUI;2022-03-05T14:41:45+01:00;48.836022242886884,2.4708339950830287;Nogent-sur-Marne;
15047;Morillons - Dantzig;OUI;52;1;51;21;30;OUI;OUI;2022-03-05T14:41:05+01:00;48.83310149953933,2.299380004405976;Paris;
6021;Beaux-Arts - Bonaparte;OUI;20;4;16;14;2;OUI;OUI;2022-03-05T14:43:10+01:00;48.856451985395786,2.334851883351803;Paris;
13101;Croulebarde - Corvisart;OUI;34;29;3;0;3;OUI;OUI;2022-03-05T14:40:54+01:00;48.830981659316855,2.3481646925210953;Paris;
25006;Place Nelson Mandela;OUI;22;19;3;0;3;OUI;OUI;2022-03-05T14:41:37+01:00;48.862090937689715,2.196576297283173;Rueil-Malmaison;
20143;Ramponeau - Belleville;OUI;44;41;2;1;1;OUI;OUI;2022-03-05T14:42:09+01:00;48.871031137596006,2.3790568521139748;Paris;
17026;Jouffroy d'Abbans - Wagram;OUI;40;38;1;0;1;OUI;OUI;2022-03-05T14:42:13+01:00;48.881973298351625,2.301132157444954;Paris;
15026;Bir Hakeim;OUI;33;14;19;19;0;OUI;OUI;2022-03-05T14:38:49+01:00;48.853844054333514,2.289705348222022;Paris;
17038;Grande Armée - Brunel;OUI;62;41;5;3;2;OUI;OUI;2022-03-05T14:33:48+01:00;48.876116,2.288124;Paris;
17044;Porte de Saint-Ouen - Bessières;OUI;42;16;26;14;12;OUI;OUI;2022-03-05T14:36:38+01:00;48.89792240854517,2.32851451022192;Paris;
17041;Guersant - Gouvion-Saint-Cyr;OUI;36;27;8;5;3;OUI;OUI;2022-03-05T14:40:27+01:00;48.88287775178599,2.287667370814871;Paris;
19033;Cambrai - Benjamin Constant;OUI;43;40;0;0;0;OUI;OUI;2022-03-05T14:42:11+01:00;48.89594736851349,2.381133802246315;Paris;
17048;De Toqueville - Terrasse;OUI;30;26;3;3;0;OUI;OUI;2022-03-05T14:33:32+01:00;48.882428,2.314002;Paris;
8050;Boétie - Ponthieu;OUI;33;23;10;5;5;OUI;OUI;2022-03-05T14:42:18+01:00;48.871417284354834,2.307678759098053;Paris;
17025;Chazelles - Courcelles;OUI;35;34;1;0;1;OUI;OUI;2022-03-05T14:37:30+01:00;48.879406604954,2.3034455627202988;Paris;
16138;Saint-Cloud - Hippodrome;OUI;30;22;8;6;2;OUI;OUI;2022-03-05T14:43:00+01:00;48.85772148887421,2.2549109905958176;Paris;
14108;Le Brix et Mesmin - Jourdan;OUI;21;20;1;0;1;OUI;OUI;2022-03-05T14:38:58+01:00;48.82234096593411,2.327861653302471;Paris;
92002;Théâtre des Amandiers - Palais des sports;OUI;24;16;8;1;7;OUI;OUI;2022-03-05T14:41:34+01:00;48.89264852683893,2.2136941552162175;Nanterre;
31024;Romainville - Vaillant-Couturier;OUI;38;37;0;0;0;OUI;OUI;2022-03-05T14:36:35+01:00;48.86785,2.446748;Montreuil;
6029;Vaugirard - Monsieur le Prince;OUI;26;17;9;5;4;OUI;OUI;2022-03-05T14:39:35+01:00;48.848951441614176,2.3411329463124275;Paris;
47007;Liberté - Vert-de-Maisons;OUI;20;8;12;4;8;OUI;OUI;2022-03-05T14:39:06+01:00;48.79014780960843,2.43286281824112;Maisons-Alfort;
19027;Serrurier;OUI;18;16;1;0;1;OUI;OUI;2022-03-05T14:36:53+01:00;48.8804934032465,2.39806417375803;Paris;
43002;Lagny - Victor Basch;OUI;26;24;1;0;1;OUI;OUI;2022-03-05T14:41:05+01:00;48.84884147189881,2.426325418925233;Vincennes;
31028;Raspail Barbès;OUI;28;26;1;1;0;OUI;OUI;2022-03-05T14:38:17+01:00;48.8529945,2.4247387;Montreuil;
21216;Louis Lejeune - Barbès;OUI;25;21;4;2;2;OUI;OUI;2022-03-05T14:42:38+01:00;48.81807418981508,2.3267009854316716;Montrouge;
44017;Jules Guesde - Pont du Port à l'Anglais;OUI;30;5;23;18;5;OUI;OUI;2022-03-05T14:41:11+01:00;48.79628807093802,2.417212128639221;Vitry-sur-Seine;
15068;Général Martial Valin - Pont du Garigliano;OUI;16;2;13;7;6;OUI;OUI;2022-03-05T14:42:18+01:00;48.83823094269141,2.270506024360657;Paris;
16118;Michel-Ange - Parent de Rosan;OUI;26;0;0;0;0;NON;NON;2022-03-05T14:41:50+01:00;48.840579923690115,2.2584119439125065;Paris;
22207;Rond-point du Dr Albert Schweitzer;OUI;22;17;5;0;5;OUI;OUI;2022-03-05T14:41:39+01:00;48.78980918988166,2.3143940046429634;Bagneux;
9008;Tour d'Auvergne - Rodier;OUI;17;17;0;0;0;OUI;OUI;2022-03-05T14:33:49+01:00;48.879161,2.343698;Paris;
7004;Raspail - Varenne;OUI;18;0;18;14;4;OUI;OUI;2022-03-05T14:42:48+01:00;48.85314781654488,2.3263905197381973;Paris;
