,station_id,station_nom,diff_mean,station_capacity,Coordonnées géographiques,lat,lon,mecanique_dispo_nb,electrique_dispo_nb,mecanique_ratio,electrique_ratio
0,10001,René Boulanger - Lancry,48,62,"48.8685433,2.3600032",48.8685433,2.3600032,22,21,0.51,0.49
1,10003,Hauteville - Bonne Nouvelle,24,17,"48.87077436024043,2.349649636832728",48.87077436024043,2.349649636832728,3,1,0.75,0.25
2,10004,Metz - Faubourg Saint-Denis,87,48,"48.870893,2.353521",48.870893,2.353521,7,5,0.58,0.42
3,10005,Petites Ecuries - Faubourg Poissonnière,40,18,"48.87397217237368,2.348388757504776",48.87397217237368,2.348388757504776,1,3,0.25,0.75
4,10006,Petites Ecuries - Faubourg Saint-Denis,32,28,"48.87287120589831,2.3542150855064397",48.87287120589831,2.3542150855064397,1,1,0.5,0.5
5,10008,Cité Riverin - Château d'Eau,47,18,"48.870702423554306,2.358739863900845",48.870702423554306,2.358739863900845,11,5,0.69,0.31
6,10009,Mairie du 10ème,71,19,"48.87208944990723,2.357582598924637",48.87208944990723,2.357582598924637,7,6,0.54,0.46
7,1001,Quai de l'Horloge - Pont Neuf,9,17,"48.857058739111096,2.341798283943937",48.857058739111096,2.341798283943937,7,5,0.58,0.42
8,10010,Place Jacques Bonsergent,15,33,"48.870948218595146,2.3612049221992497",48.870948218595146,2.3612049221992497,28,3,0.9,0.1
9,10011,Bourse du Travail,126,17,"48.868976638825686,2.362343855202198",48.868976638825686,2.362343855202198,8,7,0.53,0.47
10,10012,Vinaigriers - Magenta,3,25,"48.8731167,2.3593052",48.8731167,2.3593052,9,3,0.75,0.25
11,10013,Alibert - Jemmapes,-117,60,"48.8710440519842,2.366104461987773",48.8710440519842,2.366104461987773,10,2,0.83,0.17
12,10014,Marseille - Beaurepaire,89,55,"48.871624306962985,2.3639265082738348",48.871624306962985,2.3639265082738348,26,8,0.76,0.24
13,10015,Lucien Sampaix - Récollets,19,46,"48.874330377560476,2.3621229082345963",48.874330377560476,2.3621229082345963,7,10,0.41,0.59
14,10016,Récollets - Square Villemin,-80,17,"48.875034655883944,2.359801238597928",48.875034655883944,2.359801238597928,6,7,0.46,0.54
15,10017,Gare de l'Est - Fidélité,57,15,"48.874575,2.356796",48.874575,2.356796,7,2,0.78,0.22
16,10018,Square Alban Satragne,-17,30,"48.875388227727306,2.355956733335916",48.875388227727306,2.355956733335916,14,10,0.58,0.42
17,10019,Paradis - Hauteville,-4,31,"48.874999954666755,2.3522757401923404",48.874999954666755,2.3522757401923404,8,3,0.73,0.27
18,1002,Victoria - Place du Chatelet,62,22,"48.85799259152685,2.3469167947769165",48.85799259152685,2.3469167947769165,17,3,0.85,0.15
19,10020,Chabrol - d'Hauteville,20,11,"48.87701838803332,2.3513179644942284",48.87701838803332,2.3513179644942284,1,0,1.0,0.0
20,10021,Marché Saint-Quentin,-19,15,"48.877356057652264,2.354511445637388",48.877356057652264,2.354511445637388,2,2,0.5,0.5
21,10023,Gare de l'Est - Verdun,-12,14,"48.87615605427147,2.360914908320552",48.87615605427147,2.360914908320552,2,8,0.2,0.8
22,10024,Buisson Saint-Louis - Saint-Maur,73,19,"48.87174684930295,2.3722528328789854",48.87174684930295,2.3722528328789854,0,2,0.0,1.0
23,10025,Jemmapes - Ecluses Saint-Martin,58,15,"48.87748519186726,2.3660067468881607",48.87748519186726,2.3660067468881607,7,6,0.54,0.46
24,10026,Gare de l'Est - Chateau Landon,-26,59,"48.879305,2.362424",48.879305,2.362424,1,2,0.33,0.67
25,10028,Gare du Nord - Dunkerque,-110,29,"48.88042350842878,2.3527636751532555",48.88042350842878,2.3527636751532555,1,8,0.11,0.89
26,10029,Dunkerque - Rocroy,-145,24,"48.880726,2.351464",48.880726,2.351464,0,0,,
27,1003,Saint-Denis - Rivoli,7,43,"48.85905934084166,2.3476943001151085",48.85905934084166,2.3476943001151085,26,13,0.67,0.33
28,10031,Louis Blanc - Aqueduc,39,37,"48.88203018259946,2.3635615780949593",48.88203018259946,2.3635615780949593,0,4,0.0,1.0
29,10032,Claude Vellefaux - Hôpital Saint-Louis,-34,32,"48.87285913900304,2.370071706985146",48.87285913900304,2.370071706985146,1,2,0.33,0.67
